,Year,Country,equities,real estate,fixed income,infrastructure,Total Investments
0,1998,Finland,96132657,0,276678196,0,372810853
1,1999,Finland,242937384,0,225491882,0,468429266
2,2000,Finland,353076422,0,110107130,0,463183552
3,2001,Finland,449613403,0,288059092,0,737672495
4,2002,Finland,434936054,0,405844424,0,840780478
5,2003,Finland,595988493,0,176364088,0,772352581
6,2004,Finland,577850689,0,300692347,0,878543036
7,2005,Finland,784035548,0,48402866,0,832438414
8,2006,Finland,1024828361,0,525899302,0,1550727663
9,2007,Finland,2359459101,0,1150933397,0,3510392498
10,2008,Finland,2122757391,0,1045538395,0,3168295786
11,2009,Finland,2841098277,0,550381967,0,3391480244
12,2010,Finland,3448729619,0,714788733,0,4163518352
13,2011,Finland,2628779067,0,1755516204,0,4384295271
14,2012,Finland,3390404609,0,1970324019,0,5360728628
15,2013,Finland,4515853517,0,2822116606,0,7337970123
16,2014,Finland,3910353806,0,2896874197,0,6807228003
17,2015,Finland,3913696410,0,2255260765,0,6168957175
18,2016,Finland,3500689488,0,2013240590,0,5513930078
19,2017,Finland,3993088251,0,2990129354,0,6983217605
20,2018,Finland,4787933405,0,2863963989,0,7651897394
21,2019,Finland,5261652430,0,3090659642,0,8352312072
22,2020,Finland,5934189323,0,1951432107,0,7885621430
23,2021,Finland,7543783824,0,2468745998,0,10012529822
24,2022,Finland,6675112411,0,2842881838,0,9517994249
25,2023,Finland,5859154532,0,4126798680,0,9985953212
26,1998,United States,2676284560,0,2736127055,0,5412411615
27,1999,United States,3254522648,0,3458668687,0,6713191335
28,2000,United States,4716591131,0,6126884166,0,10843475297
29,2001,United States,7615487463,0,10433409853,0,18048897316
30,2002,United States,9862125486,0,12496442452,0,22358567938
31,2003,United States,18558020891,0,14043249308,0,32601270199
32,2004,United States,24344274076,0,21546136648,0,45890410724
33,2005,United States,30236826122,0,17169774195,0,47406600317
34,2006,United States,33867391881,0,39864393441,0,73731785322
35,2007,United States,51356639857,0,36686455303,0,88043095160
36,2008,United States,47226019602,0,55678087123,0,102904106725
37,2009,United States,83262503395,0,48040570052,0,131303073447
38,2010,United States,97613951522,0,57824921021,0,155438872543
39,2011,United States,98603980208,0,61340601606,0,159944581814
40,2012,United States,119503985042,0,77035496763,0,196539481805
41,2013,United States,150423243546,11117625323,95612693609,0,257153562478
42,2014,United States,174877530295,417474981150,94758510666,0,687111022111
43,2015,United States,182169577072,4315574701833,99643687575,0,4597387966480
44,2016,United States,205537424844,4357127733600,110051384259,0,4672716542703
